title,authors,year,type,subject,source,doi,direct_url,abstract
Artificial Intelligence in Health Care: Applications and Legal Implications,"Price II, W. Nicholson",2017,Research Paper,Computer Law; Health Law and Policy; Science and Technology Law,CORE,N/A,https://repository.law.umich.edu/cgi/viewcontent.cgi?article=2932&context=articles,"This article briefly describes the concept of AI in medicine, including several possible applications, then considers its legal implications in four areas of law: regulation, tort, intellectual property, and privacy."
Artificial Intelligence and the Problem of Autonomy,"Calo, Ryan",2020,Research Paper,Law; Artificial Intelligence; Technology,CORE,N/A,https://scholarship.law.nd.edu/cgi/viewcontent.cgi?article=1006&context=ndlsjet,"This article explores the challenges posed by autonomous systems, including autonomous vehicles, weapons, and algorithmic decision-making, and considers how existing legal and regulatory frameworks may need to be adapted."
Principles of Economics 3e,OpenStax,2022,Textbook,Social Sciences; Economics,OpenStax,N/A,https://openstax.org/details/books/principles-economics-3e,"Principles of Economics 3e covers the scope and sequence of most introductory economics courses. The authors take a balanced approach to micro- and macroeconomics, to both Keynesian and classical views, and to the theory and application of economics concepts."
Introduction to Philosophy,"Ramos, J.; et al.",2020,Textbook,Humanities; Philosophy,BCcampus Open Textbooks,N/A,https://collection.bccampus.ca/textbook/introduction-to-philosophy/,"This book is a collection of chapters on the classic philosophical questions, written by several authors and edited by Christina Hendricks. It covers topics in metaphysics, epistemology, ethics, and political philosophy."
Financial Strategy for Public Managers,"Kioko, Sharon N.; Marlowe, Justin",2016,Textbook,Business; Finance; Public Administration,OTL,N/A,https://open.umn.edu/opentextbooks/books/financial-strategy-for-public-managers,"A thorough, applied, and concise introduction to the essential financial concepts and analytical tools needed by effective public servants. It assumes no prior financial management knowledge or experience."
Matrix Calculus for Machine Learning and Beyond,"Edelman, Alan; Johnson, Steven G.",2018,Course Material,Mathematics; Applied Mathematics; Calculus,MIT OCW,N/A,https://ocw.mit.edu/courses/18-s096-matrix-calculus-for-machine-learning-and-beyond-fall-2018/,"This course provides a background in matrix calculus, a notation that is critical for expressing and solving problems in machine learning, optimization, and many other fields."
Biology-informed neural networks learn nonlinear representations from omics data to improve genomic prediction and interpretability,"Kontolati, Katiana; Gladstone, Rini Jasmine; Davis, Ian; Pickering, Ethan",2025,Research Paper,Machine Learning; Biology,arXiv,N/A,https://arxiv.org/pdf/2510.14970,N/A
World Cancer Report: Cancer research for cancer prevention,"Wild, Christopher P.; Weiderpass, Elisabete; Stewart, Bernard W.",2020,Research Paper,Cancer; Public Health; Medicine,PubMed,N/A,https://www.ncbi.nlm.nih.gov/books/NBK606505/pdf/Bookshelf_NBK606505.pdf,"This publication provides wide-ranging insights into cancer prevention based on the known causes of cancer, factors that determine how cancer develops, and the behaviour of different tumour types, and presents a broad scope of interventions."
IMPLEMENTING ETHICS INTO ARTIFICIAL INTELLIGENCE,"Walz, Axel; Firth-Butterfield, Kay",2019,Research Paper,Law; Ethics; Artificial Intelligence; Governance,CORE,N/A,https://scholarship.law.duke.edu/cgi/viewcontent.cgi?article=1352&context=dltr,This Article advocates for the need to conduct in-depth risk-benefit-assessments with regard to the use of AI and autonomous systems and develops a graded governance model for the implementation of ethical concerns in AI systems.
Psychology 2e,"Spielman, Rose M.; Jenkins, William J.; Lovett, Marilyn D.",2020,Textbook,Social Sciences; Psychology,OpenStax,N/A,https://openstax.org/details/books/psychology-2e,"Psychology 2e is designed to meet the scope and sequence requirements for the single-semester introduction to psychology course. The book offers a comprehensive treatment of core concepts, grounded in both classic studies and current and emerging research."
Analyzing Research Trends in Computer Science,N/A,2024,Research Paper,Computer Science; Data Mining; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2503.13451,"This paper analyzes the self-reported research interests of the top 3,260 most cited computer science scholars. By leveraging the scholarly Python library, we systematically retrieved and classified each researcher's interests into predefined categories grounded in the Computer Science Ontology (CSO). Our results reveal a clear hierarchy of primary focus areas such as Artificial Intelligence, Software Engineering, and Data Mining."
Towards Integrating Emerging AI Applications in SE Education,N/A,2024,Research Paper,Computer Science; Software Engineering; Artificial Intelligence; Education,arXiv,N/A,https://arxiv.org/pdf/2405.18062,"In this early research paper, we present preliminary results of a systematic analysis of current trends in the area of AI, and how they can be integrated into university-level Software Engineering (SE) curricula, guidelines, and approaches to support both instructors and learners."
A Comprehensive Survey of Evolving Machine Learning,N/A,2024,Research Paper,Machine Learning; Data Science,arXiv,N/A,https://arxiv.org/pdf/2505.17902,"This survey presents a comprehensive analysis of Evolving Machine Learning (EML), focusing on five core challenges: data drift, concept drift, catastrophic forgetting, skewed learning, and network adaptation. We systematically review over 120 studies, categorizing state-of-the-art methods across supervised, unsupervised, and semi-supervised approaches."
On the Reliability of Deep Neural Networks,N/A,2024,Research Paper,Machine Learning; Artificial Intelligence; Deep Learning,arXiv,N/A,https://arxiv.org/pdf/2401.07359,This paper addresses the reliability of DNN methods from a fundamental epistemological point of view. It emphasises the ubiquitous role of model assumptions against the illusion of theory-free science and argues that the high epistemic complexity of DNN models hinders the estimate of their reliability.
Open Access for Open Science,"Pulverer, Bernd",2023,Research Paper,Science Policy; Publishing,PubMed,10.15252/embr.202357638,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10328062/pdf/EMBR-24-e57638.pdf,"The EMBO Journal and EMBO Reports join EMBO Molecular Medicine, Molecular Systems Biology and Life Science Alliance as Open Access journals from 2024. Full Open Access at EMBO Press completes another step towards the goal of an integrated Open Science approach for the dissemination of highly selected and curated science."
Public Access to Scientific Research Findings and Principles of Biomedical Research,"Bibbins-Domingo, Kirsten; et al.",2023,Research Paper,Science Policy; Medicine,PubMed,10.1001/jamaophthalmol.2022.6056,https://jamanetwork.com/journals/jamaophthalmology/fullarticle/2799988,This editorial discusses a new policy for the JAMA Network regarding public access to scientific research findings and the principles of biomedical research.
2023 at PLOS Biology,PLOS Biology Staff Editors,2023,Research Paper,Biology; Life Sciences,PubMed,10.1371/journal.pbio.3002474,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10773953/pdf/pbio.3002474.pdf,"2023 saw many important advances in the life sciences. In this editorial, we highlight research from across the breadth of PLOS Biology's scope."
College Algebra 2e,N/A,2020,Textbook,Mathematics; Algebra,OpenStax,N/A,https://openstax.org/details/books/college-algebra-2e,Study algebra online free by downloading OpenStax's College Algebra 2e book and using our accompanying online resources including an algebra study guide.
"Principles of Accounting, Volume 1: Financial Accounting",N/A,N/A,Textbook,Business; Accounting,OpenStax,N/A,https://openstax.org/details/books/principles-accounting-volume-1-financial-accounting,"Principles of Accounting, Volume 1: Financial Accounting covers the fundamentals of financial accounting, including the accounting cycle, financial statements, and analysis."
Introduction to Sociology 3e,N/A,2021,Textbook,Social Sciences; Sociology,OpenStax,N/A,https://openstax.org/details/books/introduction-sociology-3e,"Introduction to Sociology 3e aligns to the topics and objectives of many introductory sociology courses. It is arranged in a manner that provides foundational sociological theories and contexts, then progresses through various aspects of human society."
Hybrid-Flexible Course Design,"Beatty, Brian",2019,Textbook,Education; Instructional Design,OTL,N/A,https://open.umn.edu/opentextbooks/books/hybrid-flexible-course-design,"This volume provides readers with methods, case stories, and strategies related to Hybrid-Flexible (HyFlex) course design so that they may make decisions about using it themselves and even begin their own HyFlex course (re)design."
Writing Instruction Tips For Automated Essay Graders,"Lamoreaux, Patricia",2020,Textbook,Education; Writing; Artificial Intelligence,OTL,N/A,https://open.umn.edu/opentextbooks/books/writing-instruction-tips-for-automated-essay-graders,"As schools, as well as the workplace, become more automated, and remote or distance learning/working becomes the “new normal,” understanding and leveraging artificial intelligence will become a critical skill."
Introduction to Tourism and Hospitality in B.C. – 2nd Edition,N/A,2020,Textbook,Business; Tourism; Hospitality,BCcampus Open Textbooks,N/A,https://collection.bccampus.ca/textbook/introduction-to-tourism-and-hospitality-in-b-c-2nd-edition/,"This is a second edition of an open textbook first published by BCcampus in 2015, updated to be more timely and improved with interactive H5P activities."
Fundamentals of Materials Science,"Irvine, Darrell; Marzari, Nicola",2005,Course Material,Engineering; Materials Science and Engineering; Thermodynamics,MIT OCW,N/A,https://ocw.mit.edu/courses/3-012-fundamentals-of-materials-science-fall-2005/,"This course focuses on the fundamentals of structure, energetics, and bonding that underpin materials science. It is the introductory lecture class for sophomore students in Materials Science and Engineering."
Structure of Materials,"Gradecak, Silvija",2019,Course Material,Engineering; Materials Science and Engineering,MIT OCW,N/A,https://ocw.mit.edu/courses/3-012sx-structure-of-materials-spring-2019/,This three-part course explores the structure of a wide variety of materials with current-day engineering applications. Part 1 of the course introduces amorphous materials and explores glasses and polymers.
Learn to Build Your Own Videogame with the Unity Game Engine,"Keane, Kyle; Ringler, Andrew; Gandhi, Abhinav; Vrablic, Mark",2017,Course Material,Engineering; Computer Science; Game Design,MIT OCW,N/A,https://ocw.mit.edu/courses/res-3-003-learn-to-build-your-own-videogame-with-the-unity-game-engine-and-microsoft-kinect-january-iap-2017/,This course provides an overview of the Unity game engine and how to work with the software interface. This is provided to help students get started on an even footing when jumping into the guided tutorial.
A Brief History of Artificial Intelligence,N/A,N/A,Research Paper,Artificial Intelligence; Computer Science; History of Science,CORE,N/A,https://digitalcommons.memphis.edu/cgi/viewcontent.cgi?article=1029&context=ccrg_papers,"From its very inception artificial intelligence was divided into two quite distinct research streams, symbolic AI and neural nets. Symbolic AI took the view that intelligence could be achieved by manipulating symbols within the computer according to rules."
Law and Macroeconomics: The Zero Lower Bound Challenge,"Listokin, Yair",N/A,Research Paper,Law; Economics,CORE,N/A,https://openyls.law.yale.edu/bitstream/handle/20.500.13051/4810/YairListokinLawandMacroec.pdf,"I argue that, first, the economy works one way in ordinary economic conditions, in which supply capacity determines output, and a different way when interest rates are zero. At the ""zero lower bound"" on short-term interest rates, spending demand determines output."
Whatever Happened to Law and Economics?,"McJohn, Stephen M.",2005,Research Paper,Law; Economics,CORE,N/A,https://digitalcommons.law.umaryland.edu/cgi/viewcontent.cgi?article=3367&context=mlr,"This article claims that law and economics is no longer amenable to critique. In past decades, it did take shape as a unique structure; the Chicago School bore distinctive characteristics. Today the Chicago edifice shares attention with other types of law and economics."
Business Fundamentals,N/A,2023,Textbook,Business,OTL,N/A,https://open.umn.edu/opentextbooks/books/business-fundamentals,"Business Fundamentals is an all-encompassing introductory textbook designed to introduce readers to the business world. Geared toward college and university students, especially those with little to no prior experience in business."
Accounting Principles: A Business Perspective,N/A,N/A,Textbook,Business; Accounting,OTL,N/A,https://open.umn.edu/opentextbooks/books/accounting-principles-a-business-perspective,Accounting Principles: A Business Perspective uses annual reports of real companies to illustrate many of the accounting concepts in use in business today.
The Shallow and the Deep: A biased introduction to neural networks and old school machine learning,"Biehl, Michael",2023,Textbook,Computer Science; Machine Learning; Neural Networks,OTL,N/A,https://open.umn.edu/opentextbooks/books/the-shallow-and-the-deep-a-biased-introduction-to-neural-networks-and-old-school-machine-learning,"The Shallow and the Deep is a collection of lecture notes that offers an accessible introduction to neural networks and machine learning in general. The focus lies on classical machine learning techniques, with a bias towards classification and regression."
Think Python: How to Think Like a Computer Scientist - 2e,"Downey, Allen B.",2012,Textbook,Computer Science; Programming; Python,OTL,N/A,https://open.umn.edu/opentextbooks/books/think-python-2e,"Think Python is a concise introduction to software design using the Python programming language. Intended for people with no programming experience, this book starts with the most basic concepts and gradually adds new material."
Scientific Computing for Chemists with Python,"Weiss, Charles J.",2025,Textbook,Computer Science; Chemistry; Python,OTL,N/A,https://open.umn.edu/opentextbooks/books/scientific-computing-for-chemists-with-python,This book serves as an introduction to coding for chemists. The tools employed in this book are the powerful and popular combination of Jupyter notebooks and the Python programming language.
Mathematics for Elementary Teachers,"Manes, Michelle",2017,Textbook,Education; Mathematics,OTL,N/A,https://open.umn.edu/opentextbooks/books/mathematics-for-elementary-teachers,"This book will help you to understand elementary mathematics more deeply, gain facility with creating and using mathematical notation, develop a habit of looking for reasons and creating mathematical explanations, and become more comfortable exploring unfamiliar mathematical situations."
Introduction to Computer Science and Programming in Python,"Bell, Ana; Grimson, Eric; Guttag, John",2016,Course Material,Computer Science; Programming; Python,MIT OCW,N/A,https://ocw.mit.edu/courses/6-0001-introduction-to-computer-science-and-programming-in-python-fall-2016/,This course is an introduction to computer science as a tool to solve real-world analytical problems using Python 3.5.
A Vision of Linear Algebra,"Strang, Gilbert",2020,Course Material,Mathematics; Linear Algebra,MIT OCW,N/A,https://ocw.mit.edu/courses/res-18-010-a-2020-vision-of-linear-algebra-spring-2020/,This course is a new way of learning linear algebra. The key is to see the whole picture of the subject—the five crucial factorizations of a matrix.
The Analytics Edge,N/A,2017,Course Material,Business; Management; Data Science; Statistics,MIT OCW,N/A,https://ocw.mit.edu/courses/15-071-the-analytics-edge-spring-2017/,This course is about the science of data-driven decision-making. It covers topics from linear regression and logistic regression to text analytics and clustering.
Large Language Models can accomplish Business Process Management Tasks,"Grohs, Michael; Abb, Luka; Elsayed, Nourhan; Rehse, Jana-Rebecca",2023,Research Paper,Natural Language Processing; Business,arXiv,N/A,https://arxiv.org/pdf/2307.09923,Business Process Management (BPM) aims to improve organizational activities by managing the underlying processes. This often requires considering information from unstructured textual documents. This paper illustrates how LLMs can accomplish text-related BPM tasks.
Natural Language Processing for Requirements Formalization,"Sudhi, Viju; Kutty, Libin; Gröpler, Robin",2023,Research Paper,Natural Language Processing; Software Engineering,arXiv,N/A,https://arxiv.org/pdf/2309.13272,This work presents and discusses principal ideas and state-of-the-art methodologies from the field of NLP in order to guide readers on how to create a set of rules and methods for the semi-automated formalization of requirements according to their specific use case and needs.
Large Language Models in Bioinformatics: A New Era of Discovery,N/A,2023,Research Paper,Bioinformatics; Machine Learning; Genomics,arXiv,N/A,https://arxiv.org/pdf/2503.04490,"Large Language Models (LLMs) are revolutionizing bioinformatics, enabling advanced analysis of DNA, RNA, proteins, and single-cell data. This survey provides a systematic review of recent advancements, focusing on genomic sequence modeling, RNA structure prediction, and protein function inference."
STEPS: A Structure-aware Self-supervised Learning Framework for Protein Representation,N/A,2023,Research Paper,Bioinformatics; Machine Learning; Computational Biology,arXiv,N/A,https://arxiv.org/pdf/2204.04213,"We propose a novel STrucure-awarE Protein Self-supervised Learning (STEPS) method. This method can not only explicitly incorporate protein structural information into protein representations, but also leverage the existing protein language model to enhance protein representation learning."
Advancing inclusive research calculator for oncology disease areas,"Press, David J.; et al.",2024,Research Paper,Oncology; Clinical Trials; Public Health,PubMed,10.1371/journal.pone.0315283,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11658589/pdf/pone.0315283.pdf,"We provide an Advancing Inclusive Research (AIR) Calculator, summary tables, and data query bank to support target setting for the development of diversity action plans and to take steps toward defining enrollment standards."
State of open science in cancer research,"Rius, Cristina; et al.",2024,Research Paper,Oncology; Science Policy,PubMed,10.1007/s12094-024-03468-7,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11019665/pdf/12094_2024_Article_3468.pdf,"This study focused on assessing the Open Science scenario of cancer research during the period 2011-2021, specifically concerning the derived scientific publications and raw data dissemination."
Enhancing Information Architecture with Machine Learning for Digital Media Platforms,"Mietzner, Taylor N.",2024,Research Paper,Machine Learning; Information Architecture; User Experience,CORE,N/A,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=2022&context=honors-theses,"This research aims to discover how machine learning technology can enhance the information architecture for user experience across multimedia platforms. For practical demonstration, there will be a novel, proposed information architecture model with machine learning input."
A review of machine learning and deep learning applications in wave energy forecasting,"Shadmani, Alireza; et al.",2023,Research Paper,Machine Learning; Deep Learning; Energy; Engineering,CORE,N/A,https://www.vliz.be/imisdocs/publications/396253.pdf,This review aims to classify and discuss the key characteristics of machine learning and deep learning algorithms that apply to wave energy forecast and optimal configuration of Wave Energy Converters (WECs).
First-Principles Approach for Coupled Quantum Dynamics of Electrons and Protons,"Xu, Jianhang; et al.",2023,Research Paper,Physics; Chemistry; Quantum Mechanics,arXiv,N/A,https://www.osti.gov/servlets/purl/2579636,We extend real-time nuclear-electronic orbital time-dependent density functional theory (RT-NEO-TDDFT) to periodic systems and perform first-principles simulations of coupled quantum dynamics of electrons and protons in complex heterogeneous systems.
Accelerated Sparse Recovery via Gradient Descent with Nonlinear Conjugate Gradient Momentum,"Hu, Mengqi; et al.",2023,Research Paper,Mathematics; Optimization; Machine Learning,arXiv,N/A,https://www.osti.gov/servlets/purl/2280650,This paper applies an idea of adaptive momentum for the nonlinear conjugate gradient to accelerate optimization problems in sparse recovery. We consider two types of minimization problems: a differentiable function and the sum of a non-smooth and a differentiable function.
Euler Characteristics and Homotopy Types of Definable Sublevel Sets,"Ji, Mattie; Meng, Kun; Ding, Kexin",2023,Research Paper,Mathematics; Topology; Data Analysis,arXiv,N/A,https://arxiv.org/pdf/2309.03142,"Given a definable function on a definable set, we study sublevel sets. Using o-minimal structures, we prove that the Euler characteristic of the sublevel set is right continuous."
The Type 2 Diabetes Knowledge Portal,"Costanzo, Maria C.; et al.",2023,Research Paper,Genetics; Diabetes; Medicine,PubMed,10.1016/j.cmet.2023.03.003,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10184490/pdf/nihms-1877607.pdf,The Type 2 Diabetes Knowledge Portal (T2DKP) is a public resource of genetic datasets and genomic annotations dedicated to type 2 diabetes (T2D) and related traits. We evaluate its comprehensiveness and describe how researchers can use its tools.
Identification and analysis of individuals who deviate from their genetically-predicted phenotype,"Hawkes, Gareth; et al.",2023,Research Paper,Genetics; Genomics; Statistics,PubMed,10.1371/journal.pgen.1010934,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10513369/pdf/pgen.1010934.pdf,"Using genome-wide imputed genetic data, we aimed to classify 158,951 unrelated individuals from the UK Biobank as either concordant or deviating from two well-measured phenotypes: standing height and LDL cholesterol."
How Engineers perform Data Science Work: Designing Hybrid Roles,"Schmid, Amelie Lena; Wiesche, Manuel",2023,Research Paper,Data Science; Engineering; Business,CORE,N/A,https://aisel.aisnet.org/cgi/viewcontent.cgi?article=1093&context=wi2023,"This study analyses data science work of 30 engineers at an international automotive supplier. Investigating three cases, the evolvement of hybrid data science work can be derived, which combines two perspectives: engineering and data science."
The 2023 IEEE Low-Power Computer Vision Challenge,N/A,2023,Research Paper,Computer Vision; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2403.07153,"This article describes the 2023 IEEE Low-Power Computer Vision Challenge (LPCVC). The vision problem for 2023 LPCVC is segmentation of images acquired by Unmanned Aerial Vehicles (UAVs, also called drones) after disasters."
Computation-efficient Deep Learning for Computer Vision: A Survey,"Wang, Yulin; et al.",2023,Research Paper,Computer Vision; Deep Learning; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2308.13998,This review offers an extensive analysis of computationally efficient deep learning by examining four key areas: 1) light-weighted backbone models; 2) specialized network architectures; 3) model compression techniques; and 4) hardware deployment strategies.
"Foundation Models in Robotics: Applications, Challenges, and the Future","Firoozi, Roya; et al.",2023,Research Paper,Robotics; Artificial Intelligence; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2312.07843,"We survey applications of pretrained foundation models in robotics. Traditional deep learning models in robotics are trained on small datasets for specific tasks, limiting adaptability. Foundation models pretrained on internet-scale data appear to have superior generalization."
Large Language Models for Robotics: A Survey,"Zenga, Fanlong; et al.",2023,Research Paper,Robotics; Natural Language Processing; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2311.07226,"This comprehensive review aims to summarize the applications of LLMs in robotics, delving into their impact and contributions to key areas such as robot control, perception, decision-making, and path planning."
Disentangling Hype from Practicality: On Realistically Achieving Quantum Advantage,"Hoefler, Torsten; Häner, Thomas; Troyer, Matthias",2023,Research Paper,Quantum Computing; Computer Science,arXiv,N/A,https://arxiv.org/pdf/2307.00523,In light of the growing expectations and hype surrounding quantum computing we ask the question which are the promising applications to realize quantum advantage. We argue that small data problems and quantum algorithms with super-quadratic speedups are essential.
Extra-tensor-induced origin for the PTA signal,"Gorji, Mohammad Ali; Sasaki, Misao; Suyama, Teruaki",2023,Research Paper,Astrophysics; Cosmology; Gravitational Waves,arXiv,N/A,https://arxiv.org/pdf/2307.13109,"Recently, pulsar timing array (PTA) collaborations announced evidence for an isotropic stochastic gravitational wave (GW) background. We present a new interpretation of the PTA signal: it is originated from an extra spectator tensor field."
The role of mass and environment in the build up of the quenched galaxy population,"Taylor, Elizabeth; et al.",2023,Research Paper,Astrophysics; Astronomy; Galaxy Evolution,arXiv,N/A,https://arxiv.org/pdf/2304.09169,"We conduct the first study of how the relative quenching probability of galaxies depends on environment over the redshift range 0.5 < z < 3, using data from the UKIDSS Ultra-Deep Survey. We find an excess of quenched galaxies in dense environments out to at least z ~ 2."
High-Dimensional Statistics,"Rigollet, Philippe; Hütter, Jan-Christian",2023,Course Material,Statistics; Mathematics; Machine Learning,arXiv,N/A,https://arxiv.org/pdf/2310.19244,"These are lecture notes for 18.657, High Dimensional Statistics at MIT. Over the past decade, statistics have undergone drastic changes with the development of high-dimensional statistical inference, where the number of features usually far exceeds the number of observations."
Trieste: Efficiently Exploring The Depths of Black-box Functions with TensorFlow,"Picheny, Victor; et al.",2023,Research Paper,Machine Learning; Statistics; Software,arXiv,N/A,https://arxiv.org/pdf/2302.08436,"We present Trieste, an open-source Python package for Bayesian optimization and active learning benefiting from the scalability and efficiency of TensorFlow. Our library enables the plug-and-play of popular TensorFlow-based models within sequential decision-making loops."
Quantum Cryptography in Algorithmica,"Kretschmer, William; Qian, Luowen; Sinha, Makrand; Tal, Avishay",2023,Research Paper,Cryptography; Quantum Computing,arXiv,N/A,https://arxiv.org/pdf/2212.00879,"We construct a classical oracle relative to which P = NP yet single-copy secure pseudorandom quantum states exist. This shows that in a black-box setting, quantum cryptography based on pseudorandom states is possible even if one-way functions do not exist."
"A Comprehensive Survey on the Implementations, Attacks, and Countermeasures of the Current NIST Lightweight Cryptography Standard","Kaur, Jasmin; Canto, Alvaro Cintas; Kermani, Mehran Mozaffari; Azarderakhsh, Reza",2023,Research Paper,Cryptography; Computer Security,arXiv,N/A,https://arxiv.org/pdf/2304.06222,"This survey is the first work on the current standard for lightweight cryptography, ASCON, standardized in 2023. Lightweight cryptography plays a vital role in securing resource-constrained embedded systems such as RFID tags and sensor networks."
How much can ChatGPT really help Computational Biologists in Programming?,"Rahman, Chowdhury Rafeed; Wong, Limsoon",2023,Research Paper,Computational Biology; Natural Language Processing; Bioinformatics,arXiv,N/A,https://arxiv.org/pdf/2309.09126,"This paper focuses on the potential influence (both positive and negative) of ChatGPT in computational biology coding tasks with illustrative examples. We cover use cases such as code writing, reviewing, debugging, converting, refactoring and pipelining."
Recent Breakthrough in AI-Driven Materials Science,"Liu, Miao; Meng, Sheng",2024,Research Paper,Materials Science; Artificial Intelligence,arXiv,N/A,https://arxiv.org/pdf/2402.05799,"In late 2023, DeepMind unveiled GNoME, a powerful AI model for materials science, discovering over 381,000 stable crystalline materials. Days later, Microsoft released its generative model MatterGen, which can predict new material structures based on targeted properties."
Towards Foundation Models for Materials Science: The Open MatSci ML Toolkit,"Lee, Kin Long Kelvin; et al.",2023,Research Paper,Materials Science; Machine Learning; Foundation Models,arXiv,N/A,https://arxiv.org/pdf/2310.07864,"This manuscript reviews our recent progress with development of Open MatSci ML Toolkit, and details experiments that lay the groundwork for foundation model research and development with our framework."
AI Index Report 2025,N/A,2025,Research Paper,Artificial Intelligence; Machine Learning; Technology Policy,arXiv,N/A,https://arxiv.org/pdf/2504.07139,"The 2025 AI Index report is our most comprehensive to date, with in-depth analyses of the evolving landscape of AI hardware, novel estimates of inference costs, and new analyses of AI publication and patenting trends."
